target,mean_predicted,fraction_positive
compliance,0.0033325335362066767,0.10000701803635342
compliance,0.14629298943263877,0.29526462395543174
compliance,0.24454937544577274,0.3076923076923077
compliance,0.34780704841921223,0.2934131736526946
compliance,0.4465287609009534,0.32450331125827814
compliance,0.5503310686376552,0.3333333333333333
compliance,0.649809970232643,0.27631578947368424
compliance,0.7538144433238432,0.2849740932642487
compliance,0.8581900298130888,0.3423076923076923
compliance,0.990437822084344,0.49155011655011654
refusal,0.0011419669191924974,0.01679945648817244
refusal,0.14763106969503156,0.2540983606557377
refusal,0.24895196133883962,0.2625
refusal,0.35148087854246357,0.32727272727272727
refusal,0.44800736691865617,0.45652173913043476
refusal,0.5501504081961315,0.46774193548387094
refusal,0.6496404900713556,0.38571428571428573
refusal,0.7497916034804025,0.5
refusal,0.8503331631438916,0.49473684210526314
refusal,0.994308411154177,0.8684843624699278
