target,feature_set,layer,layer_pct,model_type,fold,auc,f1,accuracy,n_train,n_test,positive_rate_test
compliance,surface,,,logistic,0,0.6562947304262436,0.35994587280108253,0.7547952306894764,15431,3858,0.16666666666666666
compliance,surface,,,logistic,1,0.6722224844333966,0.37833468067906223,0.6013478486262313,15431,3858,0.18973561430793157
compliance,surface,,,logistic,2,0.6905913235700469,0.4038950042337002,0.6350440642820114,15431,3858,0.19595645412130638
compliance,surface,,,logistic,3,0.6688888553522034,0.38562091503267976,0.6101607050285122,15431,3858,0.19310523587350958
compliance,surface,,,logistic,4,0.6651909353356318,0.371033360455655,0.599170339642209,15432,3857,0.18926626912107855
compliance,behavioural,,,logistic,0,0.6538615403592705,0.33610975012248895,0.6487817522032141,15431,3858,0.16666666666666666
compliance,behavioural,,,logistic,1,0.5811731502749721,0.32315832315832316,0.568947641264904,15431,3858,0.18973561430793157
compliance,behavioural,,,logistic,2,0.5907828709247149,0.3403411344704482,0.568947641264904,15431,3858,0.19595645412130638
compliance,behavioural,,,logistic,3,0.5971274391650515,0.3406682966585167,0.5806117159149818,15431,3858,0.19310523587350958
compliance,behavioural,,,logistic,4,0.6045984816292915,0.34098360655737703,0.5830956702100077,15432,3857,0.18926626912107855
compliance,prompt_embedding,,,logistic,0,0.7380770058701315,0.4241095890410959,0.7275790565059617,15431,3858,0.16666666666666666
compliance,prompt_embedding,,,logistic,1,0.7390203440909838,0.45029505220154337,0.686106791083463,15431,3858,0.18973561430793157
compliance,prompt_embedding,,,logistic,2,0.752791764316587,0.45824223874070835,0.6788491446345256,15431,3858,0.19595645412130638
compliance,prompt_embedding,,,logistic,3,0.7348107201452234,0.44833625218914186,0.6734059097978227,15431,3858,0.19310523587350958
compliance,prompt_embedding,,,logistic,4,0.7421402631083232,0.439877568867512,0.6678765880217786,15432,3857,0.18926626912107855
compliance,hidden_layer_8,8.0,25.806451612903224,logistic,0,0.7070869684048092,0.3873144399460189,0.7646448937273198,15431,3858,0.16666666666666666
compliance,hidden_layer_8,8.0,25.806451612903224,logistic,1,0.7218997024777206,0.43614457831325304,0.7573872472783826,15431,3858,0.18973561430793157
compliance,hidden_layer_8,8.0,25.806451612903224,logistic,2,0.7305318466665984,0.44365781710914454,0.7555728356661483,15431,3858,0.19595645412130638
compliance,hidden_layer_8,8.0,25.806451612903224,logistic,3,0.7104603556852946,0.4014778325123153,0.7480559875583204,15431,3858,0.19310523587350958
compliance,hidden_layer_8,8.0,25.806451612903224,logistic,4,0.7235816200919083,0.44100801832760594,0.746953590873736,15432,3857,0.18926626912107855
compliance,hidden_layer_16,16.0,51.61290322580645,logistic,0,0.8101669129687095,0.5,0.815966822187662,15431,3858,0.16666666666666666
compliance,hidden_layer_16,16.0,51.61290322580645,logistic,1,0.787018318072643,0.482360487491982,0.7908242612752722,15431,3858,0.18973561430793157
compliance,hidden_layer_16,16.0,51.61290322580645,logistic,2,0.7996044538597732,0.5009511731135067,0.7960082944530845,15431,3858,0.19595645412130638
compliance,hidden_layer_16,16.0,51.61290322580645,logistic,3,0.8027854612719555,0.4896939412866958,0.788232244686366,15431,3858,0.19310523587350958
compliance,hidden_layer_16,16.0,51.61290322580645,logistic,4,0.7856694455274652,0.49447852760736194,0.78636245786881,15432,3857,0.18926626912107855
compliance,hidden_layer_24,24.0,77.41935483870968,logistic,0,0.8006448195545279,0.49018181818181816,0.8182996371176775,15431,3858,0.16666666666666666
compliance,hidden_layer_24,24.0,77.41935483870968,logistic,1,0.7812546979502077,0.49286640726329445,0.7973043027475376,15431,3858,0.18973561430793157
compliance,hidden_layer_24,24.0,77.41935483870968,logistic,2,0.8077496938312542,0.5139393939393939,0.7921202695697253,15431,3858,0.19595645412130638
compliance,hidden_layer_24,24.0,77.41935483870968,logistic,3,0.7850251273615515,0.4828897338403042,0.7884914463452566,15431,3858,0.19310523587350958
compliance,hidden_layer_24,24.0,77.41935483870968,logistic,4,0.7955421407011841,0.5086774386594853,0.787140264454239,15432,3857,0.18926626912107855
compliance,hidden_layer_31,31.0,100.0,logistic,0,0.8104090226364075,0.5067232837933475,0.81933644375324,15431,3858,0.16666666666666666
compliance,hidden_layer_31,31.0,100.0,logistic,1,0.7968156200944659,0.5123028391167193,0.7996371176775532,15431,3858,0.18973561430793157
compliance,hidden_layer_31,31.0,100.0,logistic,2,0.7935454681908581,0.49906658369632856,0.7913426645930534,15431,3858,0.19595645412130638
